titulo,id_tmdb,nota_media,n_votos,popularidade,data_lancamento
Oppenheimer,872585,8.1,10210,79.2249,2023-07-19
Casablanca,289,8.157,5618,29.3346,1943-01-15
Pearl Harbor,676,6.936,6651,9.5616,2001-05-21
Independence Day,602,6.893,9787,8.1634,1996-06-25
The Patriot,2024,7.174,4016,7.0041,2000-06-28
Déjà Vu,7551,6.867,4950,6.827,2006-11-22
Borat Subsequent Moviefilm,740985,6.443,2623,5.5913,2020-10-23
Red Sparrow,401981,6.537,6080,5.8717,2018-02-28
Paths of Glory,975,8.255,3021,2.9795,1957-10-25
Fearless,7549,7.5,1305,3.8965,2006-01-26
Kesari,498448,7.086,105,2.9749,2019-03-21
Team America: World Police,3989,6.7,1909,2.7613,2004-10-10
Chariots of Fire,9443,6.789,943,2.7009,1981-05-15
The Delta Force,16113,5.957,444,2.9014,1986-02-14
Notorious,303,7.749,1639,2.2776,1946-08-21
All Quiet on the Western Front,143,7.745,833,2.4337,1930-04-29
Heartbreak Ridge,10015,6.9,1044,2.4015,1986-12-05
Mishima: A Life in Four Chapters,27064,7.79,298,2.0987,1985-09-20
Assassination Nation,446101,6.257,846,2.0043,2018-09-21
Iron Eagle,11037,5.6,310,1.763,1986-01-17
Lagaan: Once Upon a Time in India,19666,7.252,586,1.8265,2001-06-15
The African Queen,488,7.352,983,1.8101,1952-01-07
In the Valley of Elah,6973,6.782,1017,1.7369,2007-09-14
Missing in Action 2: The Beginning,12764,5.8,290,1.5782,1985-03-01
The Rifleman,567566,7.3,156,1.5723,2019-11-11
Missing in Action,15379,5.9,504,1.5428,1984-11-16
Rang De Basanti,7913,7.075,457,1.4556,2006-01-26
Sergeant York,16442,7.19,213,1.315,1941-09-27
The Cuckoo,554,7.147,109,1.2304,2002-01-01
Braddock: Missing in Action III,27352,5.7,257,1.1659,1988-01-22
Indian,31521,6.9,73,1.126,1996-05-09
Khadgam,81068,7.0,7,0.8362,2002-11-29
"My People, My Country",612845,6.862,65,0.8328,2019-09-30
Army,168994,6.857,14,0.6074,1944-12-07
Uncle Sam,9680,4.9,56,0.568,1996-11-13
The Big Parade,3060,7.553,113,0.5392,1925-11-05
Andaz,302876,4.4,7,0.478,1994-04-08
Twenty-Four Eyes,43339,7.7,86,0.4761,1954-09-15
Behind the Shield: The Power and Politics of the NFL,1032198,0.0,0,0.3878,2022-09-23
Mutant Aliens,30863,6.3,25,0.3708,2002-06-14
Dixie Dugan,322441,5.0,1,0.4443,1943-03-12
Stone of Destiny,12407,6.5,75,0.6425,2008-12-19
The Shopworn Angel,99318,7.1,16,0.2664,1938-07-15
The Relentless Patriot,1260698,10.0,1,0.3705,2024-06-14
"April 1, 2000",30024,6.6,15,0.2916,1952-11-19
To Die For,1037564,5.5,2,0.271,2022-10-20
80 Hussars,89665,6.4,7,0.3118,1978-09-13
The Home and the World,42092,7.3,27,0.2645,1985-01-04
Hearts Divided,195068,5.0,3,0.2515,1936-06-20
Youth China hits headlines,1037686,0.0,0,0.2545,2019-09-27
Unnaipol Oruvan,25121,7.0,41,0.3005,2009-09-18
An American Romance,118059,5.9,10,0.2354,1944-04-16
Dancing with Le Pen,582345,9.0,1,0.2415,2018-06-08
It's a Big Country,53832,5.3,7,0.3303,1951-11-20
City Unplugged,46808,6.1,7,0.1926,1993-06-06
The Man Without a Country,233710,5.667,9,0.2325,1937-11-27
The Night Is Young,213040,5.7,3,0.2666,1935-01-11
Andha Naal,261793,6.8,10,0.2334,1954-04-13
"March On, America!",508564,4.7,3,0.1761,1942-06-20
Hackers Wanted,38229,6.0,12,0.2431,2009-01-01
Sabyasachi,655249,0.0,0,0.1429,1977-01-21
The Red Elvis,2692,7.25,4,0.1571,2007-02-13
Main Street Today,240373,6.2,4,0.1488,1944-03-25
Shoe Shine Boy,521228,7.0,1,0.1427,1943-12-25
I Am an American,507882,5.3,3,0.1481,1944-12-23
Information Violence,29725,10.0,1,0.1392,2002-04-10
False Flag,1432339,7.0,1,0.1738,2025-01-14
Aaj Kal Parsur Galpa,938978,0.0,0,0.1262,1981-08-13
Hers to Hold,218113,6.857,7,0.1808,1943-07-16
The Tanks Are Coming,32939,5.125,8,0.217,1941-10-04
Beyond the Line of Duty,236836,5.667,9,0.1927,1942-11-07
Секретный фарватер,314709,5.0,6,0.1811,1986-01-01
Song of Guerrilla,483508,0.0,0,0.2142,1941-06-12
Meet the Fleet,314927,5.7,3,0.1873,1940-12-21
Kirkastettu sydän,526273,4.8,5,0.1171,1943-12-18
The Ground Truth,50062,6.5,2,0.173,2006-09-15
The Yanks Are Coming,390359,4.5,6,0.1254,1942-11-09
Faith of My Fathers,18638,6.2,25,0.2222,2005-05-30
William Shatner Sings O Canada,409474,7.0,1,0.1504,2011-07-26
A Believe,1140460,0.0,0,0.0866,2022-08-29
Un pays sans bon sens!,406401,7.4,8,0.0743,1970-11-26
La scelta di Maria,893729,7.2,9,0.1034,2021-11-04
From the Four Corners,472969,0.0,0,0.1498,1941-07-31
The Muppets: Stars & Stripes FOREVER!,1359667,10.0,1,0.2016,2008-06-27
Wings of Steel,462340,0.0,0,0.2096,1941-04-04
Por Todos,1273126,0.0,0,0.0929,2024-06-18
The United States Service Bands,660523,2.0,1,0.0833,1943-01-01
Debt,329769,0.0,0,0.0691,1966-12-31
Malvinas: Stories of Betrayals,863188,6.0,1,0.0638,1984-09-06
Ten Thousand Li Ahead,943322,0.0,0,0.0654,1941-01-01
The Return of Independence,498952,6.2,6,0.0689,2018-01-15
Mutthi Bhar Mitti,607527,10.0,1,0.0609,2008-08-14
Wounded at Kew,1205467,0.0,0,0.0545,1915-06-30
Anzacs: In the Face of War,995753,5.0,1,0.0775,2011-07-14
Patriotism,321118,3.1,4,0.0671,1972-01-01
Priyappettavar,822563,0.0,0,0.0769,2021-04-22
InDIEpendence Day,1321451,10.0,1,0.0947,2024-08-20
Mahabiplabi Aurobindo,663957,0.0,0,0.0758,1971-01-27
The Question,365660,7.0,1,0.0457,1967-01-01
A Young Patriot,339394,6.962,13,0.071,2015-04-01
